Name,Title,Description,Price,Stock
msk_full_hood_owls,"Fullprint толстовка ""Мистические Совы"".","    Fullprint флюрная толстовка с легендарными совами, давно ставшими хитами. Принты на рукавах, капюшоне, спине и груди. Таких в мире всего 4 штуки. Осталось свободных всего 2шт, обе размера М для парней, также отлично подойдет и для девушек с размерами L. Смотрите параметры на актуальной размерной сетке на последнем фото.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,2
msk_full_h_darkpsy,"Fullprint толстовка ""Dark Psy"".","    Fullprint флюрная толстовка ""Dark Psy"".  Такая в мире всего одна толстовка c капюшоном, размера М для парней, либо для девушки с размерами L. Смотрите параметры худи на актуальной размерной сетке на последнем фото. Это геометрическая интерпретация полотна ""Dark Forest"". С таким паттерном всего было выпущено 2 свитшота, данная худи и с похожим паттерном еще одно парео. 
    По истине эксклюзивная вещь. Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,1
msk_full_h_durga,"Fullprint толстовка ""Durga"".","    Fullprint флюрная толстовка ""Durga"".  Такая в мире всего одна толстовка c капюшоном, размера М для парней, либо для девушки с размерами L. Смотрите параметры худи на актуальной размерной сетке на последнем фото. Это совершенно новый дизайн, с которым было выпущено всего два полотна и эта толстовка.
    По истине эксклюзивная вещь. Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",7500,1
msk_poreo biddhist clouds,"Парео ""Buddha in Clouds"".","    Шарф, накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из буддийских облаков оранжевого цвета. Единственный в мире. Размер 3 метра в длину и 75см в ширину.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1",4500,1
msk_poreo blue pattern,"Парео ""Blueberry Kiss"".","    Унисекс шарф ""Blueberry Kiss"", накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из природного ягодного паттерна. Единственный в мире. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo dark forest,"Парео ""Dark Psy"".","    Унисекс шарф ""Dark Psy"", накидка, тюрбан, чалма, парео из шифона с полностью флюрным принтом из природного ягодного паттерна. Единственный в мире. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo flower,"Парео ""Flower Of Life"".","    Унисекс шарф ""Flower Of Life"" или ""Цветок Жизни"", накидка, тюрбан, чалма, парео из шифона с сакральной геометрией. Таких в мире всего 3шт. Осталась в наличии 1шт. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_poreo swasti,"Парео ""Cosmic Sky"".","    Унисекс шарф ""Cosmis Sky"", накидка, тюрбан, чалма, парео из шифона с космическим полотном из галактик и млечных путей. Таких в мире всего 1шт. Размер 3 метра в длину и 75см в ширину. Подходит и девушкам, и парням. Актуально в любое время года.
    Сделано в РОССИИ. Принт не выстирывается, активно светится в ультрафиолете и неоне, превращается в объемную голограмму в 3D в очках chromadepth.
    Доставка по РФ СДЭК либо Почта + 450р. 
    ​Примерить и приобрести на месте можно ​в Москве в магазине Crazy Bong по адресу Верхняя Сыромятническая 7 с 1.",4500,1
msk_bag_bleberry_msk,Рюкзак флюрный fullprint для вещей «Blueberry».,"Двусторонний рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
msk_bag_dark_msk,Рюкзак флюрный fullprint для вещей «Dark Forest».,"Легкий рюкзак для одежды, пляжная, спортивная сумка. Изготовлена из футера синтетического петельчатого, стретч. Для легких вещей. В походе можно использовать как подушку, положив в нее, например, куртку. Полностью запечатана визионерскими авторскими принтами с обеих сторон, которые активно светятся в ультрафиолете и неоне, а также превращаются в объемные голограммы в очках chromadepth. Всего одна штука в наличии и в мире.",3500,1
